kaggle_row_idx,student_id,login_frequency,video_watch_time,discussion_posts,task_completion_rate,peer_interaction_count,avg_response_time,assignment_score,exam_score,attendance_rate,stress_level,anxiety_score,motivation_index,resilience_score,intervention_type,engagement_level,post_intervention_mood,risk_level,emotion,attendance_norm,assignment_norm,exam_norm,motivation_norm,stress_norm,discussion_norm
0,S0001,39,31.895975503127875,1,0.8053504592609755,18,20.62629529333148,56.7489243035821,49.01863734903813,0.8874292010909779,4,1,5,1,Peer_Support,3,2,medium,Surprised,0.7751878215688104,0.7235977912857116,0.15071934704343548,1.0,0.75,1.0
1,S0002,29,228.4414040167607,1,0.5693625320547722,17,12.461659650767457,64.80883827794993,42.31549371628803,0.5648531289950134,2,1,3,1,CBT_Session,5,4,low,Normal,0.12956069931053182,0.3856056685854997,0.038657115623410454,0.5,0.25,1.0
2,S0003,15,88.96753786888684,2,0.6425635142794691,48,14.874644721732686,78.61419072710007,92.73286875477112,0.7268768801251768,4,4,1,3,CBT_Session,1,3,medium,Happy,0.4538467739098251,0.4904472834035625,0.8815278429562675,0.0,0.75,1.0
3,S0004,43,270.25481884747643,7,0.6007260144926543,23,6.227004231872233,72.0926854045532,58.895993647535946,0.7534650580385972,3,2,5,3,CBT_Session,5,3,medium,Happy,0.5070622795758062,0.4305258055177077,0.3158476283370567,1.0,0.5,1.0
4,S0005,8,162.7077553311952,14,0.8184383042260592,44,13.507102619010178,67.33593806179556,47.73873447562992,0.8436949563428573,2,5,2,3,Gamified_Task,1,4,medium,Bored,0.6876549354579389,0.7423427692754317,0.12932210720297255,0.25,0.25,1.0
5,S0006,21,242.2174337309751,6,0.9040806792908738,34,16.984313061793944,87.3226064428557,68.1076742252252,0.8166417411664977,5,2,1,4,Gamified_Task,1,5,medium,Scared,0.6335086705206223,0.8650034853719434,0.46984723467412814,0.0,1.0,1.0
6,S0007,39,293.8901163286287,5,0.6723223553052599,0,12.848841652891542,94.6754985696659,75.89836454176113,0.9053603364725874,1,2,5,2,Peer_Support,3,3,low,Sad,0.8110764950839622,0.5330691834578665,0.6000909216671838,1.0,0.0,1.0
7,S0008,19,253.53876924240544,8,0.8526025359366338,35,23.77655892345365,87.83946114511986,41.85823620535061,0.5223757169631191,1,1,2,3,Mindfulness,4,5,low,Scared,0.04454332925906557,0.791274260530021,0.031012747575132282,0.25,0.0,1.0
8,S0009,23,261.42819040334183,19,0.5077506774138953,24,15.060858093697702,66.60003510588396,56.49373949542526,0.6482203623896986,4,4,1,2,CBT_Session,3,4,high,Bored,0.2964179204228048,0.2973625038605059,0.27568707450254215,0.0,0.75,1.0
9,S0010,11,128.31550365580495,0,0.6789587271100881,44,9.532395389619888,87.22210839187768,41.96799245661376,0.6400670593876898,1,4,5,2,Gamified_Task,1,4,medium,Bored,0.28009930906430114,0.5425740823732326,0.03284763745706065,1.0,0.0,0.0
