persona_id,enrollment_id,gender,match_score,result_match,engagement_match,n_weeks,rank
P0001,528971_DDD_2013J,F,0.988,True,True,38,1
P0001,558645_DDD_2013B,F,0.9751,True,True,35,2
P0001,558224_DDD_2013B,F,0.971,True,True,35,3
P0001,227752_CCC_2014B,F,0.9664,True,True,35,4
P0001,577954_DDD_2014B,F,0.9653,True,True,35,5
P0001,241729_AAA_2013J,F,0.9645,True,True,39,6
P0001,476822_DDD_2013J,F,0.9639,True,True,38,7
P0001,327024_DDD_2013B,F,0.9538,True,True,35,8
P0001,470403_DDD_2013J,F,0.9526,True,True,38,9
P0001,614477_CCC_2014B,F,0.9515,True,True,35,10
P0002,2251500_BBB_2014J,M,0.94,True,True,38,1
P0002,353804_CCC_2014B,M,0.9202,True,True,35,2
P0002,99075_DDD_2014J,M,0.9128,True,True,38,3
P0002,592051_CCC_2014B,M,0.9029,True,True,35,4
P0002,610828_DDD_2014J,M,0.8998,True,True,38,5
P0002,624156_CCC_2014J,M,0.8991,True,True,39,6
P0002,578034_CCC_2014B,M,0.8976,True,True,35,7
P0002,100561_DDD_2014J,M,0.8971,True,True,38,8
P0002,696132_DDD_2014J,M,0.8944,True,True,38,9
P0002,629878_DDD_2014J,M,0.8942,True,True,38,10
P0003,2471673_DDD_2014J,M,0.9835,True,True,38,1
P0003,677216_GGG_2014J,M,0.9825,True,True,39,2
P0003,89778_BBB_2014B,M,0.9785,True,True,34,3
P0003,1747824_DDD_2014J,M,0.9765,True,True,38,4
P0003,607762_GGG_2014B,M,0.9703,True,True,35,5
P0003,390556_DDD_2014J,M,0.9702,True,True,38,6
P0003,533091_BBB_2013J,M,0.9652,True,True,39,7
P0003,502709_GGG_2014B,M,0.9628,True,True,35,8
P0003,634976_BBB_2014B,M,0.9606,True,True,34,9
P0003,422343_DDD_2014J,M,0.9603,True,True,38,10
P0004,6516_AAA_2014J,M,0.993,True,True,39,1
P0004,655919_CCC_2014J,M,0.9926,True,True,39,2
P0004,2558071_CCC_2014J,M,0.9926,True,True,39,3
P0004,98094_AAA_2013J,M,0.9913,True,True,39,4
P0004,612183_CCC_2014J,M,0.99,True,True,39,5
P0004,409703_AAA_2014J,M,0.9864,True,True,39,6
P0004,957467_DDD_2013B,M,0.9862,True,True,35,7
P0004,561195_CCC_2014J,M,0.9857,True,True,39,8
P0004,532565_DDD_2013B,M,0.9842,True,True,35,9
P0004,492357_CCC_2014J,M,0.9836,True,True,39,10
P0005,628329_BBB_2014B,M,0.9954,True,True,34,1
