kaggle_idx,zenodo_idx,bridge_distance,kaggle_cluster_id,zenodo_cluster_id
0,5863,0.255014,0,2
1,13117,0.251303,2,0
2,11289,0.254846,1,0
3,10069,0.0689,2,0
4,8927,0.35471,4,0
5,2241,0.036466,1,2
6,3681,0.081507,2,0
7,9090,0.26161,4,0
8,13568,0.252359,1,2
9,12523,0.052797,3,1
10,7673,0.252299,0,2
11,7626,0.359907,4,0
12,8378,0.354835,2,0
13,11626,0.064344,2,0
14,4265,0.271401,2,0
15,12081,0.258365,0,0
16,8109,0.25339,1,2
17,2261,0.101214,2,0
18,12424,0.258438,0,2
19,13165,0.254475,0,0
20,11674,0.253603,1,0
21,4933,0.252961,2,0
22,5283,0.252222,1,0
23,12827,0.091467,4,0
24,8782,0.360926,2,0
25,13859,0.260669,2,0
26,9022,0.252728,1,2
27,4775,0.251788,0,2
28,4481,0.261133,1,2
29,537,0.358624,2,0
30,12311,0.259934,3,1
31,6774,0.070758,4,0
32,5334,0.258702,1,2
33,9269,0.263231,2,0
34,2442,0.253204,1,2
35,2030,0.257296,0,2
36,10907,0.257228,2,0
37,11992,0.256403,1,2
38,12303,0.268923,2,0
39,13935,0.254813,4,0
40,7150,0.143851,4,0
41,13691,0.105299,4,0
42,3967,0.069135,0,2
43,8375,0.254144,1,0
44,11528,0.251349,1,2
45,8924,0.358881,1,2
46,6066,0.354402,1,2
47,9211,0.253492,2,0
48,12859,0.257927,2,0
49,13986,0.35746,1,0
50,13746,0.046556,1,2
51,11815,0.256546,2,0
52,11203,0.251438,2,0
53,8453,0.252993,2,0
54,12584,0.26525,4,0
55,11172,0.091542,0,2
56,7098,0.362238,4,0
57,7567,0.251904,4,0
58,537,0.035579,2,0
59,3336,0.057202,1,2
60,4073,0.053065,0,2
61,7745,0.036984,4,0
62,13326,0.269697,2,0
63,1384,0.264797,4,0
64,8814,0.259058,0,2
65,1169,0.098508,1,2
66,5331,0.075712,2,0
67,6086,0.253484,1,0
68,6277,0.260981,3,1
69,9759,0.253697,2,0
70,634,0.359228,0,0
71,661,0.254418,1,0
72,12166,0.252354,1,0
73,13716,0.256892,4,0
74,7808,0.129798,2,0
75,4199,0.108569,4,0
76,612,0.357111,1,2
77,1719,0.365354,4,0
78,4290,0.256214,1,0
79,4389,0.360203,2,0
80,10484,0.277318,4,0
81,7955,0.357549,1,2
82,461,0.264622,4,0
83,11622,0.017884,1,2
84,13994,0.253148,1,2
85,13718,0.255625,4,0
86,2172,0.253873,1,0
87,2527,0.360454,1,2
88,8442,0.257405,2,0
89,10244,0.2053,2,0
90,11794,0.260754,4,0
91,13533,0.08911,2,0
92,5904,0.267448,1,0
93,8920,0.058498,2,0
94,7147,0.086963,4,0
95,277,0.257106,2,0
96,7557,0.092887,0,2
97,9651,0.156282,3,1
98,4416,0.264464,4,0
99,12615,0.262319,4,0
100,11638,0.254056,1,2
101,1991,0.361356,4,0
102,9600,0.254366,2,0
103,13920,0.25519,1,0
104,5724,0.023649,3,1
105,6420,0.116239,4,0
106,11578,0.359847,2,0
107,12907,0.030564,4,0
108,3368,0.074929,0,2
109,11393,0.121009,2,0
110,10038,0.364731,2,0
111,4100,0.0526,4,0
112,3963,0.260462,2,0
113,13040,0.254193,2,0
114,7567,0.358351,1,0
115,11662,0.083912,0,2
116,12434,0.355817,1,2
117,13501,0.262559,1,2
118,1136,0.250148,0,0
119,9866,0.361609,2,0
120,1288,0.255215,4,0
121,9589,0.116183,0,2
122,12807,0.25542,2,0
123,7625,0.259162,2,0
124,2751,0.26628,2,0
125,3831,0.359181,2,0
126,4010,0.253774,2,0
127,10511,0.100221,0,2
128,10863,0.359713,2,0
129,12649,0.251179,0,2
130,12395,0.098481,1,0
131,9932,0.095915,4,0
132,1154,0.354706,3,1
133,5088,0.0916,4,0
134,11143,0.110947,4,0
135,3947,0.061169,0,0
136,4661,0.053602,0,2
137,3654,0.118422,2,0
138,9751,0.271582,1,0
139,10405,0.088351,2,0
140,2746,0.357625,1,0
141,7036,0.266148,1,0
142,6357,0.359282,1,2
143,284,0.268099,3,1
144,5717,0.152759,2,0
145,12572,0.255498,4,0
146,3435,0.047614,0,0
147,12583,0.25739,0,2
148,13413,0.260245,2,0
149,8664,0.105764,2,0
150,13098,0.261338,2,0
151,4136,0.095658,4,0
152,7913,0.074397,1,2
153,10659,0.25826,4,0
154,11582,0.25165,0,2
155,12747,0.263803,1,2
156,943,0.355566,4,0
157,10820,0.359332,2,0
158,2618,0.357437,4,0
159,3216,0.093468,2,0
160,11618,0.030058,1,2
161,8916,0.062096,0,2
162,12188,0.250138,3,1
163,6920,0.257558,1,2
164,12097,0.256221,0,2
165,4475,0.095327,2,0
166,304,0.256413,1,0
167,4298,0.256811,2,0
168,5469,0.252538,1,2
169,11553,0.261338,4,0
170,7634,0.264774,0,0
171,6981,0.068759,4,0
172,3221,0.257658,4,0
173,10785,0.052018,1,2
174,10613,0.06666,4,0
175,11280,0.264248,4,0
176,7206,0.106103,2,0
177,9633,0.071841,2,0
178,8053,0.357099,4,0
179,12512,0.069434,0,0
180,735,0.184484,2,0
181,8728,0.260495,2,0
182,8294,0.253522,2,0
183,7862,0.056649,2,0
184,11020,0.270964,2,0
185,6708,0.254831,3,1
186,3299,0.355541,0,2
187,9748,0.267545,1,0
188,10250,0.271111,2,0
189,11336,0.25822,2,0
190,10887,0.08848,2,0
191,12406,0.358369,2,0
192,8019,0.102551,0,2
193,12543,0.355686,0,2
194,5219,0.261633,4,0
195,704,0.257214,3,1
196,10857,0.264492,4,0
197,1817,0.265664,4,0
198,616,0.255515,0,2
199,3678,0.353597,0,2
200,2782,0.068737,1,0
201,4065,0.257724,2,0
202,3269,0.271886,4,0
203,13254,0.353713,1,0
204,2301,0.265262,2,0
205,11182,0.254685,0,2
206,2303,0.358231,4,0
207,11798,0.355405,0,0
208,13927,0.08497,2,0
209,6119,0.258822,4,0
210,7117,0.077799,3,1
211,9676,0.268035,2,0
212,11094,0.276876,0,0
213,8922,0.058829,0,2
214,4376,0.25881,2,0
215,2994,0.261774,1,2
