persona_id,zenodo_row_idx,kaggle_row_idx,bridge_distance,zenodo_cluster_id,kaggle_cluster_id,persona_archetype_label,age,gender,learning_style,internet_access,extracurricular,uses_edutech,resources_availability,study_hours_per_week,online_courses_enrolled,attendance_pct,assignment_completion_pct,exam_score_harmonized,final_grade,risk_level,avg_response_time_hours,assignment_score,login_frequency,video_watch_time_min,discussion_posts,peer_interaction_count,task_completion_rate,engagement_level,motivation_level,motivation_index,stress_level_label,stress_score,anxiety_score,resilience_score,post_intervention_mood,dominant_emotion,intervention_type
P0001,5863,0,0.255014,2,0,Resilient Climber,24,Female,Auditory,Yes,No,No,Low,14,12,75.01,72.18,49.02,Fail,medium,20.62629529333148,56.7489243035821,39,31.895975503127875,1,18,0.8054,3,Medium,5.0,Medium,4.0,1.0,1.0,2.0,Surprised,Peer_Support
P0002,13117,1,0.251303,0,2,Steady Performer,19,Male,Visual,No,Yes,Yes,Medium,12,15,13.98,39.28,42.16,Fail,low,12.461659650767457,64.80883827794993,29,228.4414040167607,1,17,0.5694,5,Low,3.0,High,2.0,1.0,1.0,4.0,Normal,CBT_Session
P0003,11289,2,0.254846,0,1,Disengaged Drifter,20,Male,Visual,Yes,Yes,Yes,Medium,31,6,45.19,48.52,91.45,Distinction,medium,14.874644721732686,78.61419072710007,15,88.96753786888684,2,48,0.6426,1,High,1.0,Low,4.0,4.0,3.0,3.0,Happy,CBT_Session
P0004,10069,3,0.0689,0,2,Resilient Climber,21,Male,Visual,Yes,Yes,Yes,High,13,5,49.1,40.53,59.98,Pass,medium,6.227004231872233,72.0926854045532,43,270.25481884747643,7,23,0.6007,5,Medium,5.0,Low,3.0,2.0,3.0,3.0,Happy,CBT_Session
P0005,8927,4,0.35471,0,4,Disengaged Drifter,25,Male,Kinesthetic,Yes,Yes,Yes,Medium,32,17,68.13,73.12,47.38,Fail,medium,13.507102619010178,67.33593806179556,8,162.7077553311952,14,44,0.8184,1,Low,2.0,High,2.0,5.0,3.0,4.0,Bored,Gamified_Task
P0006,2241,5,0.036466,2,1,Disengaged Drifter,29,Female,ReadWrite,Yes,No,Yes,High,24,2,61.68,86.25,68.6,Pass,medium,16.984313061793944,87.3226064428557,21,242.2174337309751,6,34,0.9041,1,High,1.0,Medium,5.0,2.0,4.0,5.0,Scared,Gamified_Task
P0007,3681,6,0.081507,0,2,Flourishing Achiever,26,Male,Kinesthetic,Yes,Yes,Yes,Low,23,0,84.3,53.65,74.5,Merit,low,12.848841652891542,94.6754985696659,39,293.8901163286287,5,0,0.6723,3,Medium,5.0,High,1.0,2.0,2.0,3.0,Sad,Peer_Support
P0008,9090,7,0.26161,0,4,Routine Complier,26,Female,Visual,Yes,Yes,Yes,High,31,20,7.23,78.56,43.43,Fail,low,23.77655892345365,87.83946114511986,19,253.53876924240544,8,35,0.8526,4,High,2.0,High,1.0,1.0,3.0,5.0,Scared,Mindfulness
P0009,13568,8,0.252359,2,1,Crisis Learner,18,Female,Kinesthetic,Yes,No,Yes,Low,29,14,29.82,30.87,55.77,Pass,high,15.060858093697702,66.60003510588396,23,261.42819040334183,19,24,0.5078,3,High,1.0,Medium,4.0,4.0,2.0,4.0,Bored,CBT_Session
P0010,12523,9,0.052797,1,3,Resilient Climber,27,Female,ReadWrite,Yes,Yes,Yes,Medium,13,20,30.25,53.13,41.49,Fail,medium,9.532395389619888,87.22210839187768,11,128.31550365580495,0,44,0.679,1,Medium,5.0,High,1.0,4.0,2.0,4.0,Bored,Gamified_Task
P0011,7673,10,0.252299,2,0,Resilient Climber,25,Male,Visual,Yes,No,No,Low,16,7,14.79,33.3,64.65,Pass,medium,18.759496635164275,57.59900912370256,11,169.99955262520854,7,48,0.5417,4,Low,4.0,Medium,5.0,2.0,1.0,3.0,Scared,Mindfulness
P0012,7626,11,0.359907,0,4,Routine Complier,18,Female,Auditory,Yes,Yes,No,Low,16,15,31.96,42.75,93.43,Distinction,low,4.920637766377768,56.51589940456454,24,83.62768357255824,2,42,0.5899,4,High,2.0,Low,2.0,2.0,5.0,5.0,Sad,CBT_Session
P0013,8378,12,0.354835,0,2,Resilient Climber,29,Female,Auditory,Yes,Yes,Yes,Low,7,18,31.74,74.71,99.07,Distinction,medium,9.84386371524413,67.28135185180795,36,66.87279891110131,3,33,0.8127,4,Low,4.0,High,2.0,3.0,5.0,4.0,Bored,Mindfulness
P0014,11626,13,0.064344,0,2,Steady Performer,24,Female,Visual,Yes,Yes,No,Low,20,1,53.6,89.19,76.67,Merit,medium,8.980055858684475,90.38511845220285,40,156.5972849407498,14,24,0.9172,5,Low,3.0,Low,3.0,1.0,4.0,3.0,Sad,CBT_Session
P0015,4265,14,0.271401,0,2,Resilient Climber,25,Male,Kinesthetic,Yes,No,Yes,Low,20,20,64.45,8.08,51.36,Fail,medium,10.931563187478876,62.31741236211509,24,182.56420411312197,5,15,0.385,1,Medium,5.0,Low,2.0,5.0,4.0,4.0,Bored,Mindfulness
P0016,12081,15,0.258365,0,0,Overwhelmed Striver,29,Female,Auditory,Yes,Yes,Yes,High,21,11,40.31,64.8,93.26,Distinction,high,18.980935996360703,53.16267044493398,3,108.38866130989538,14,33,0.7442,2,Medium,5.0,Low,4.0,5.0,5.0,2.0,Happy,Peer_Support
P0017,8109,16,0.25339,2,1,Disengaged Drifter,28,Male,Visual,No,Yes,Yes,Low,35,5,73.49,57.17,71.53,Merit,medium,12.13597973975837,56.58547676031775,22,175.1386201514151,2,28,0.7075,3,High,2.0,Medium,5.0,4.0,5.0,2.0,Normal,CBT_Session
P0018,2261,17,0.101214,0,2,Resilient Climber,26,Male,Auditory,Yes,No,Yes,Low,8,2,30.56,9.93,47.13,Fail,medium,19.262332356117145,92.93724842647902,2,267.3635399289159,13,18,0.3829,5,Medium,5.0,Low,3.0,1.0,1.0,3.0,Bored,CBT_Session
P0019,12424,18,0.258438,2,0,Steady Performer,18,Female,ReadWrite,Yes,Yes,Yes,Low,8,5,28.26,23.61,96.74,Distinction,high,14.259244772216917,81.68916423736438,24,171.44925958717616,19,22,0.4483,3,Low,3.0,Medium,4.0,4.0,1.0,4.0,Normal,Peer_Support
P0020,13165,19,0.254475,0,0,Resilient Climber,29,Female,Auditory,Yes,No,Yes,Low,32,6,53.32,30.58,84.29,Merit,medium,8.867596997123773,62.66005816849883,44,219.03579793004693,13,18,0.5177,2,Medium,5.0,Low,4.0,5.0,5.0,3.0,Surprised,CBT_Session
P0021,11674,20,0.253603,0,1,Disengaged Drifter,21,Female,Kinesthetic,No,No,Yes,Low,14,12,2.42,15.36,85.02,Distinction,medium,19.629511104719867,77.76479126640906,30,243.5413405337925,3,24,0.4169,4,High,1.0,Low,4.0,2.0,3.0,1.0,Bored,CBT_Session
P0022,4933,21,0.252961,0,2,Flourishing Achiever,27,Male,ReadWrite,Yes,Yes,Yes,Low,20,19,6.48,23.21,82.84,Merit,low,6.480662422721107,76.37898112126751,38,296.73134676707843,11,15,0.4706,2,Medium,4.0,High,1.0,1.0,3.0,3.0,Happy,Gamified_Task
P0023,5283,22,0.252222,0,1,Steady Performer,28,Female,Visual,Yes,No,No,Medium,18,18,40.9,25.41,52.03,Fail,medium,6.160808535395296,82.77179892203307,2,184.9272466313241,16,8,0.4873,3,Low,3.0,Low,4.0,1.0,1.0,3.0,Sad,Peer_Support
P0024,12827,23,0.091467,0,4,Steady Performer,26,Female,Kinesthetic,No,No,Yes,Medium,21,17,97.17,33.82,54.85,Pass,medium,12.603567253261222,61.659377721080816,21,243.9865431991499,6,0,0.535,2,Low,3.0,High,1.0,3.0,2.0,2.0,Happy,Gamified_Task
P0025,8782,24,0.360926,0,2,Flourishing Achiever,18,Female,Visual,Yes,Yes,No,Medium,15,6,74.84,77.56,81.21,Merit,low,6.999532657128045,93.22014935971988,33,289.16830238091364,8,41,0.8246,1,Medium,4.0,High,2.0,2.0,5.0,2.0,Normal,Peer_Support
P0026,13859,25,0.260669,0,2,Flourishing Achiever,20,Male,Kinesthetic,Yes,No,Yes,Low,33,1,11.9,58.66,54.11,Pass,low,1.2090018038779755,65.46842810400064,12,283.8788204174093,2,18,0.7003,2,Low,4.0,High,1.0,2.0,4.0,4.0,Sad,Mindfulness
P0027,9022,26,0.252728,2,1,Steady Performer,23,Male,ReadWrite,Yes,Yes,Yes,Medium,29,20,84.84,97.43,65.7,Pass,medium,15.910843127872434,84.70658269881184,22,50.91373614553694,12,32,0.9904,1,Low,3.0,Medium,4.0,4.0,3.0,3.0,Happy,Peer_Support
P0028,4775,27,0.251788,2,0,Resilient Climber,23,Male,Kinesthetic,Yes,No,Yes,Low,22,15,72.88,42.78,87.53,Distinction,medium,12.755157893865157,50.806232318610746,44,127.85376939932138,14,33,0.5903,2,Low,4.0,Medium,5.0,1.0,2.0,3.0,Happy,Peer_Support
P0029,4481,28,0.261133,2,1,Disengaged Drifter,28,Male,Kinesthetic,Yes,Yes,No,High,8,15,63.06,77.78,88.59,Distinction,medium,11.246909733342708,68.63285649470737,25,103.9571177209719,17,15,0.8277,1,High,2.0,Medium,5.0,4.0,3.0,4.0,Happy,Gamified_Task
P0030,537,29,0.358624,0,2,Flourishing Achiever,21,Male,Auditory,Yes,Yes,No,High,26,5,79.78,88.68,68.14,Pass,low,23.240275836221254,67.58549089794042,49,35.2082543356013,18,43,0.91,1,Low,4.0,Low,2.0,2.0,2.0,5.0,Scared,CBT_Session
P0031,12311,30,0.259934,1,3,Disengaged Drifter,27,Male,Auditory,Yes,No,No,Low,13,0,37.71,66.03,88.34,Distinction,medium,14.137581231147015,77.17422142915072,27,193.63982472417857,0,39,0.7753,2,High,1.0,Low,4.0,3.0,5.0,4.0,Sad,Peer_Support
P0032,6774,31,0.070758,0,4,Routine Complier,23,Male,ReadWrite,Yes,No,Yes,Low,23,4,19.82,39.64,91.73,Distinction,low,20.858926289155843,53.636813088859824,42,223.41233782684068,5,17,0.5883,5,High,1.0,High,1.0,1.0,5.0,2.0,Happy,CBT_Session
P0033,5334,32,0.258702,2,1,Disengaged Drifter,19,Female,Auditory,Yes,Yes,Yes,Medium,31,14,50.61,78.77,79.7,Merit,medium,4.207355432718684,89.50656868630541,28,255.95714768539625,1,33,0.8275,4,High,2.0,Medium,5.0,2.0,5.0,2.0,Happy,Peer_Support
P0034,9269,33,0.263231,0,2,Resilient Climber,26,Female,Kinesthetic,Yes,Yes,Yes,Medium,21,5,51.2,22.2,53.87,Fail,medium,14.091748651976836,60.88904008837842,16,45.605298002185464,13,24,0.4426,4,Low,4.0,Low,3.0,3.0,1.0,3.0,Normal,Gamified_Task
P0035,2442,34,0.253204,2,1,Disengaged Drifter,19,Male,Auditory,Yes,No,Yes,Medium,30,20,53.17,31.41,57.24,Pass,medium,20.963531414810767,83.8518907441005,15,264.1687820038352,5,44,0.5293,4,High,1.0,Medium,4.0,5.0,2.0,2.0,Happy,Peer_Support
P0036,2030,35,0.257296,2,0,Resilient Climber,27,Male,Auditory,Yes,No,Yes,Low,23,6,54.51,56.4,57.97,Pass,medium,14.411432417437654,90.16060616220466,47,196.44841344813344,13,5,0.6827,1,Medium,5.0,Medium,4.0,2.0,4.0,4.0,Happy,Mindfulness
P0037,10907,36,0.257228,0,2,Resilient Climber,18,Female,Auditory,Yes,No,Yes,Low,23,19,96.21,58.84,48.51,Fail,medium,17.514326096921035,78.09384781207565,44,214.14437919016777,3,20,0.7028,4,Medium,4.0,Low,3.0,5.0,4.0,3.0,Surprised,Peer_Support
P0038,11992,37,0.256403,2,1,Disengaged Drifter,22,Male,Auditory,Yes,Yes,Yes,Medium,29,14,92.63,3.1,57.22,Pass,medium,9.55700205968077,87.04416033609928,3,274.08096102668816,7,5,0.3155,1,High,2.0,Medium,5.0,4.0,5.0,4.0,Sad,Peer_Support
P0039,12303,38,0.268923,0,2,Resilient Climber,20,Female,Kinesthetic,Yes,No,No,Low,16,5,91.31,93.37,50.8,Fail,medium,3.126338891852532,83.09301561075029,37,191.1807686025428,2,31,0.9616,5,Low,4.0,Low,3.0,5.0,4.0,4.0,Surprised,CBT_Session
P0040,13935,39,0.254813,0,4,Steady Performer,24,Female,Kinesthetic,Yes,No,Yes,Medium,10,0,82.59,69.91,67.7,Pass,low,11.531706787922642,67.77648985760038,7,107.40109857345216,18,40,0.7876,2,Low,3.0,Low,2.0,2.0,3.0,3.0,Scared,CBT_Session
P0041,7150,40,0.143851,0,4,Steady Performer,22,Female,ReadWrite,Yes,Yes,No,Medium,30,8,88.44,47.84,96.84,Distinction,medium,10.073025989293724,90.44292695167826,21,249.28112611257137,13,47,0.647,2,Low,3.0,High,1.0,5.0,2.0,5.0,Normal,Mindfulness
P0042,13691,41,0.105299,0,4,Routine Complier,22,Female,Kinesthetic,Yes,Yes,Yes,Low,25,2,14.92,94.77,46.64,Fail,low,20.94238419471579,64.7350684942764,9,115.28717153657624,19,42,0.9532,1,High,1.0,High,1.0,1.0,2.0,2.0,Surprised,Peer_Support
P0043,3967,42,0.069135,2,0,Steady Performer,23,Female,Auditory,Yes,No,No,Medium,15,0,28.25,42.0,84.67,Distinction,medium,6.611891954106862,78.56064588757586,39,19.926152137953444,16,38,0.6074,1,Low,3.0,Medium,5.0,2.0,2.0,1.0,Scared,CBT_Session
P0044,8375,43,0.254144,0,1,Disengaged Drifter,29,Female,Visual,Yes,No,Yes,Low,13,5,49.76,97.14,80.18,Merit,medium,23.23488723330749,87.26988695707698,18,250.8898069039224,7,30,0.9863,5,Low,2.0,Low,3.0,3.0,3.0,1.0,Bored,Peer_Support
P0045,11528,44,0.251349,2,1,Disengaged Drifter,29,Female,ReadWrite,No,Yes,No,Low,20,19,83.6,50.67,45.88,Fail,medium,23.03717675550341,68.94779549062538,4,110.10572201556992,13,41,0.6586,4,High,1.0,Medium,4.0,5.0,1.0,1.0,Sad,Gamified_Task
P0046,8924,45,0.358881,2,1,Disengaged Drifter,23,Female,Auditory,Yes,Yes,Yes,Low,28,9,52.76,11.72,94.26,Distinction,medium,6.69552779064309,65.13838038087125,25,234.41201172838868,5,9,0.38,5,Low,2.0,Medium,4.0,1.0,3.0,2.0,Happy,Gamified_Task
P0047,6066,46,0.354402,2,1,Disengaged Drifter,25,Male,Kinesthetic,Yes,Yes,Yes,Low,26,4,73.67,76.33,74.1,Merit,medium,9.005194975978371,72.96730050864113,14,115.19978945312418,15,29,0.8354,2,High,2.0,Medium,4.0,4.0,2.0,5.0,Surprised,Mindfulness
P0048,9211,47,0.253492,0,2,Steady Performer,21,Female,Visual,Yes,No,No,Low,15,1,13.19,70.02,61.94,Pass,medium,21.597782040099354,90.89817471745768,9,259.70972579266925,18,17,0.7752,2,Low,3.0,Low,2.0,4.0,2.0,4.0,Surprised,Gamified_Task
P0049,12859,48,0.257927,0,2,Steady Performer,26,Female,Visual,Yes,No,No,Low,31,2,22.62,78.74,84.76,Merit,medium,23.232311080610472,96.49608815728324,26,73.65805227347802,13,23,0.8411,4,Low,3.0,Low,2.0,5.0,2.0,3.0,Happy,CBT_Session
P0050,13986,49,0.35746,0,1,Disengaged Drifter,21,Male,Visual,Yes,Yes,Yes,Medium,6,2,71.6,93.69,54.74,Fail,medium,11.199099365229014,77.25417064299451,2,292.6187069076723,18,8,0.966,2,Low,2.0,Low,4.0,4.0,4.0,5.0,Happy,CBT_Session
P0051,13746,50,0.046556,2,1,Steady Performer,23,Female,Kinesthetic,Yes,No,No,Low,7,6,18.23,78.91,82.37,Merit,medium,8.38293204974065,83.0733102661826,20,236.13004468852893,2,30,0.8435,1,Low,3.0,Medium,5.0,3.0,1.0,1.0,Normal,Mindfulness
P0052,11815,51,0.256546,0,2,Steady Performer,24,Male,ReadWrite,Yes,No,Yes,High,29,11,35.07,58.64,41.69,Fail,low,13.100162304785467,95.1636811119457,28,43.12899851691508,9,14,0.7279,2,Low,3.0,Low,2.0,2.0,3.0,2.0,Surprised,Peer_Support
P0053,11203,52,0.251438,0,2,Steady Performer,22,Female,Visual,Yes,No,Yes,Low,11,15,25.74,86.97,90.26,Distinction,low,16.8186917464119,54.92734257064712,47,174.07521979030253,18,3,0.9001,3,Low,3.0,Low,2.0,1.0,2.0,2.0,Surprised,CBT_Session
P0054,8453,53,0.252993,0,2,Resilient Climber,28,Male,Auditory,Yes,No,Yes,Medium,16,13,34.99,65.74,67.48,Pass,medium,7.289913853624535,61.60392889330825,7,295.75652055010306,8,39,0.7713,4,Low,4.0,High,1.0,5.0,5.0,3.0,Bored,Gamified_Task
P0055,12584,54,0.26525,0,4,Disengaged Drifter,24,Female,Kinesthetic,Yes,Yes,Yes,Low,18,20,66.68,39.45,78.16,Merit,medium,17.938883016238673,85.44500031257913,44,146.60898128120618,19,8,0.5857,4,Low,2.0,High,1.0,4.0,1.0,4.0,Scared,CBT_Session
P0056,11172,55,0.091542,2,0,Resilient Climber,21,Female,Visual,Yes,Yes,Yes,Low,23,11,40.89,89.39,52.16,Fail,medium,2.188119213636744,91.18722309561498,8,62.81107025825914,12,44,0.9199,4,Medium,5.0,Medium,5.0,2.0,5.0,5.0,Bored,Mindfulness
P0057,7098,56,0.362238,0,4,Disengaged Drifter,19,Male,Visual,Yes,Yes,Yes,Low,24,11,54.02,19.11,81.87,Merit,medium,2.133773333581578,92.8514514165289,47,150.5857264736004,6,8,0.4553,3,High,2.0,High,2.0,3.0,1.0,5.0,Surprised,Gamified_Task
P0058,7567,57,0.251904,0,4,Disengaged Drifter,21,Female,Auditory,Yes,Yes,No,Low,18,18,8.74,70.81,86.74,Distinction,medium,9.88461721834754,70.75535884274663,35,158.61272020575726,13,25,0.8002,5,High,1.0,Low,2.0,4.0,2.0,5.0,Bored,Gamified_Task
P0059,537,58,0.035579,0,2,Steady Performer,21,Male,Auditory,Yes,Yes,No,High,26,5,79.02,89.18,68.74,Pass,medium,9.129883417396574,54.466995114593345,14,225.089213826313,8,3,0.9171,1,Low,3.0,Low,3.0,4.0,1.0,4.0,Surprised,Gamified_Task
