zenodo_row_idx,StudyHours,Attendance,Resources,Extracurricular,Motivation,Internet,Gender,Age,LearningStyle,OnlineCourses,Discussions,AssignmentCompletion,ExamScore,EduTech,StressLevel,FinalGrade,Gender_lbl,Internet_lbl,Extracurricular_lbl,EduTech_lbl,Discussions_lbl,Motivation_lbl,StressLevel_lbl,Resources_lbl,FinalGrade_lbl,LearningStyle_lbl,attendance_norm,assignment_norm,exam_norm,motivation_norm,stress_norm,discussion_norm,zenodo_cluster_id
0,19,64,1,0,0,1,0,19,2,8,1,59,40,0,1,3,Female,Yes,No,No,Yes,High,Low,Low,Fail,ReadWrite,0.1,0.1799999999999999,0.0,0.0,0.5,1.0,0
1,19,64,1,0,0,1,0,23,3,16,0,90,66,0,1,2,Female,Yes,No,No,No,High,Low,Low,Pass,Visual,0.1,0.8,0.4333333333333334,0.0,0.5,0.0,1
2,19,64,1,0,0,1,0,28,1,19,0,67,99,1,1,0,Female,Yes,No,Yes,No,High,Low,Low,Distinction,Kinesthetic,0.1,0.3400000000000001,0.9833333333333332,0.0,0.5,0.0,1
3,19,64,1,1,0,1,0,19,2,8,1,59,40,0,1,3,Female,Yes,Yes,No,Yes,High,Low,Low,Fail,ReadWrite,0.1,0.1799999999999999,0.0,0.0,0.5,1.0,0
4,19,64,1,1,0,1,0,23,3,16,0,90,66,0,1,2,Female,Yes,Yes,No,No,High,Low,Low,Pass,Visual,0.1,0.8,0.4333333333333334,0.0,0.5,0.0,1
5,19,64,1,1,0,1,0,28,1,19,0,67,99,1,1,0,Female,Yes,Yes,Yes,No,High,Low,Low,Distinction,Kinesthetic,0.1,0.3400000000000001,0.9833333333333332,0.0,0.5,0.0,1
6,19,64,0,1,0,1,0,19,2,8,1,59,40,0,1,3,Female,Yes,Yes,No,Yes,High,Low,High,Fail,ReadWrite,0.1,0.1799999999999999,0.0,0.0,0.5,1.0,0
7,19,64,0,1,0,1,0,23,3,16,0,90,66,0,1,2,Female,Yes,Yes,No,No,High,Low,High,Pass,Visual,0.1,0.8,0.4333333333333334,0.0,0.5,0.0,1
8,19,64,0,1,0,1,0,28,1,19,0,67,99,1,1,0,Female,Yes,Yes,Yes,No,High,Low,High,Distinction,Kinesthetic,0.1,0.3400000000000001,0.9833333333333332,0.0,0.5,0.0,1
9,19,64,1,1,1,1,0,19,2,8,1,59,40,0,1,3,Female,Yes,Yes,No,Yes,Low,Low,Low,Fail,ReadWrite,0.1,0.1799999999999999,0.0,0.5,0.5,1.0,0
10,19,64,1,1,1,1,0,23,3,16,0,90,66,0,1,2,Female,Yes,Yes,No,No,Low,Low,Low,Pass,Visual,0.1,0.8,0.4333333333333334,0.5,0.5,0.0,1
11,19,64,1,1,1,1,0,28,1,19,0,67,99,1,1,0,Female,Yes,Yes,Yes,No,Low,Low,Low,Distinction,Kinesthetic,0.1,0.3400000000000001,0.9833333333333332,0.5,0.5,0.0,1
12,19,64,1,0,0,1,0,19,2,8,1,59,40,0,1,3,Female,Yes,No,No,Yes,High,Low,Low,Fail,ReadWrite,0.1,0.1799999999999999,0.0,0.0,0.5,1.0,0
13,19,64,1,0,0,1,0,23,3,16,0,90,66,0,1,2,Female,Yes,No,No,No,High,Low,Low,Pass,Visual,0.1,0.8,0.4333333333333334,0.0,0.5,0.0,1
