zenodo_row_idx,StudyHours,Attendance,Resources,Extracurricular,Motivation,Internet,Gender,Age,LearningStyle,OnlineCourses,Discussions,AssignmentCompletion,ExamScore,EduTech,StressLevel,FinalGrade,Gender_lbl,Internet_lbl,Extracurricular_lbl,EduTech_lbl,Discussions_lbl,Motivation_lbl,StressLevel_lbl,Resources_lbl,FinalGrade_lbl,LearningStyle_lbl,attendance_norm,assignment_norm,exam_norm,motivation_norm,stress_norm,discussion_norm
0,19,64,1,0,0,1,0,19,2,8,1,59,40,0,1,3,Female,Yes,No,No,Yes,High,Low,Low,Fail,ReadWrite,0.10000000000000009,0.17999999999999994,0.0,0.0,0.5,1.0
1,19,64,1,0,0,1,0,23,3,16,0,90,66,0,1,2,Female,Yes,No,No,No,High,Low,Low,Pass,Visual,0.10000000000000009,0.8,0.43333333333333346,0.0,0.5,0.0
2,19,64,1,0,0,1,0,28,1,19,0,67,99,1,1,0,Female,Yes,No,Yes,No,High,Low,Low,Distinction,Kinesthetic,0.10000000000000009,0.3400000000000001,0.9833333333333333,0.0,0.5,0.0
3,19,64,1,1,0,1,0,19,2,8,1,59,40,0,1,3,Female,Yes,Yes,No,Yes,High,Low,Low,Fail,ReadWrite,0.10000000000000009,0.17999999999999994,0.0,0.0,0.5,1.0
4,19,64,1,1,0,1,0,23,3,16,0,90,66,0,1,2,Female,Yes,Yes,No,No,High,Low,Low,Pass,Visual,0.10000000000000009,0.8,0.43333333333333346,0.0,0.5,0.0
5,19,64,1,1,0,1,0,28,1,19,0,67,99,1,1,0,Female,Yes,Yes,Yes,No,High,Low,Low,Distinction,Kinesthetic,0.10000000000000009,0.3400000000000001,0.9833333333333333,0.0,0.5,0.0
6,19,64,0,1,0,1,0,19,2,8,1,59,40,0,1,3,Female,Yes,Yes,No,Yes,High,Low,High,Fail,ReadWrite,0.10000000000000009,0.17999999999999994,0.0,0.0,0.5,1.0
7,19,64,0,1,0,1,0,23,3,16,0,90,66,0,1,2,Female,Yes,Yes,No,No,High,Low,High,Pass,Visual,0.10000000000000009,0.8,0.43333333333333346,0.0,0.5,0.0
8,19,64,0,1,0,1,0,28,1,19,0,67,99,1,1,0,Female,Yes,Yes,Yes,No,High,Low,High,Distinction,Kinesthetic,0.10000000000000009,0.3400000000000001,0.9833333333333333,0.0,0.5,0.0
9,19,64,1,1,1,1,0,19,2,8,1,59,40,0,1,3,Female,Yes,Yes,No,Yes,Low,Low,Low,Fail,ReadWrite,0.10000000000000009,0.17999999999999994,0.0,0.5,0.5,1.0
10,19,64,1,1,1,1,0,23,3,16,0,90,66,0,1,2,Female,Yes,Yes,No,No,Low,Low,Low,Pass,Visual,0.10000000000000009,0.8,0.43333333333333346,0.5,0.5,0.0
11,19,64,1,1,1,1,0,28,1,19,0,67,99,1,1,0,Female,Yes,Yes,Yes,No,Low,Low,Low,Distinction,Kinesthetic,0.10000000000000009,0.3400000000000001,0.9833333333333333,0.5,0.5,0.0
12,19,64,1,0,0,1,0,19,2,8,1,59,40,0,1,3,Female,Yes,No,No,Yes,High,Low,Low,Fail,ReadWrite,0.10000000000000009,0.17999999999999994,0.0,0.0,0.5,1.0
13,19,64,1,0,0,1,0,23,3,16,0,90,66,0,1,2,Female,Yes,No,No,No,High,Low,Low,Pass,Visual,0.10000000000000009,0.8,0.43333333333333346,0.0,0.5,0.0
14,19,64,1,0,0,1,0,28,1,19,0,67,99,1,1,0,Female,Yes,No,Yes,No,High,Low,Low,Distinction,Kinesthetic,0.10000000000000009,0.3400000000000001,0.9833333333333333,0.0,0.5,0.0
15,19,64,2,0,1,1,0,19,2,8,1,59,40,0,1,3,Female,Yes,No,No,Yes,Low,Low,Medium,Fail,ReadWrite,0.10000000000000009,0.17999999999999994,0.0,0.5,0.5,1.0
16,19,64,2,0,1,1,0,23,3,16,0,90,66,0,1,2,Female,Yes,No,No,No,Low,Low,Medium,Pass,Visual,0.10000000000000009,0.8,0.43333333333333346,0.5,0.5,0.0
17,19,64,2,0,1,1,0,28,1,19,0,67,99,1,1,0,Female,Yes,No,Yes,No,Low,Low,Medium,Distinction,Kinesthetic,0.10000000000000009,0.3400000000000001,0.9833333333333333,0.5,0.5,0.0
18,24,98,1,1,1,1,1,29,0,3,0,65,46,1,2,3,Male,Yes,Yes,Yes,No,Low,Medium,Low,Fail,Auditory,0.9500000000000002,0.30000000000000004,0.09999999999999998,0.5,1.0,0.0
19,24,98,1,1,1,1,1,27,0,0,1,71,83,1,0,1,Male,Yes,Yes,Yes,Yes,Low,High,Low,Merit,Auditory,0.9500000000000002,0.41999999999999993,0.7166666666666667,0.5,0.0,1.0
20,24,98,1,1,1,1,1,25,1,5,1,61,95,1,0,0,Male,Yes,Yes,Yes,Yes,Low,High,Low,Distinction,Kinesthetic,0.9500000000000002,0.21999999999999997,0.9166666666666666,0.5,0.0,1.0
21,24,98,1,1,1,1,1,29,0,3,0,65,46,1,2,3,Male,Yes,Yes,Yes,No,Low,Medium,Low,Fail,Auditory,0.9500000000000002,0.30000000000000004,0.09999999999999998,0.5,1.0,0.0
22,24,98,1,1,1,1,1,27,0,0,1,71,83,1,0,1,Male,Yes,Yes,Yes,Yes,Low,High,Low,Merit,Auditory,0.9500000000000002,0.41999999999999993,0.7166666666666667,0.5,0.0,1.0
23,24,98,1,1,1,1,1,25,1,5,1,61,95,1,0,0,Male,Yes,Yes,Yes,Yes,Low,High,Low,Distinction,Kinesthetic,0.9500000000000002,0.21999999999999997,0.9166666666666666,0.5,0.0,1.0
24,24,98,0,0,2,1,1,29,0,3,0,65,46,1,2,3,Male,Yes,No,Yes,No,Medium,Medium,High,Fail,Auditory,0.9500000000000002,0.30000000000000004,0.09999999999999998,1.0,1.0,0.0
